id,entity
451,Xiaomi Redmi Note 12 Pro+
452,Xiaomi Black Shark 6
453,Realme V30
454,Google Pixel 3 XL
455,ZenFone 10
456,OPPO F27 Pro Plus
457,Vivo iQOO 9 Pro
458,realme C67 8GB 256GB
459,Xiaomi Redmi Note 10T
460,TECNO CAMON 20 Pro 5G
461,realme GT 5
462,Huawei Pura 70 Pro+
463,Google Pixel 2 XL
464,INOI A83 6GB 128GB
465,Huawei Nova 12 Pro
466,Honor Magic 2
467,Google Pixel 9 Pro XL
468,Sony Xperia X Compact
469,Xiaomi Redmi K50 Pro
470,Oppo K3
471,OPPO A2
472,Google Pixel 4 XL
473,vivo IQOO Neo 8
474,Xiaomi Redmi Note 13s
475,Vivo X100
476,TCL 505
477,OnePlus Nord N30
478,OnePlus 9 Pro
479,Nokia 150
480,OPPO Reno 11 A
481,realme GT6
482,Samsung Galaxy F55 5G
483,Tecno Spark 10C
484,Vivo Y30 5G
485,Infinix Note 40 5G
486,OPPO Reno12 F 4G 8GB 256GB
487,Vivo V26 Pro
488,Honor 80 GT
489,Vivo X90
490,Huawei Nova 10 Pro
491,Vivo Y67
492,Google Pixel 2
493,Honor Magic V2
494,OPPO Reno9 Pro Plus
495,Nokia 130
496,Infinix Hot 20 Play
497,Google Pixel 3
498,ZTE Blade A52 3GB 64GB
499,OPPO A2x
500,Nubia Red Magic 6S 16GB 256GB
501,realme C75 (8GB-128GB)
502,Moto G Power 5G
503,Lenovo Legion Y70
504,Samsung Galaxy M16 5G 
505,Redmi K60 Ultra
506,Nubia Focus 5G 8GB 256GB
507,Vivo Y97
508,Infinix Zero 5G
509,Huawei Mate X6
510,ROG Phone 6D Ultimate
511,Vivo Y77e 5G
512,Honor X6A
513,Vivo X Fold 3
514,OnePlus Ace 2V
515,Nubia Redmagic 8s Pro 16GB 512GB Transparent
516,OPPO K11
517,Vivo V9
518,Xiaomi Redmi Note 14 Pro 5G 8GB 256GB
519,ZTE Nubia Z50 Ultra
520,OPPO K10x
521,Samsung Galaxy M44
522,Xperia 5 V
523,Vivo V29
524,POCO F6 5G
525,vivo S19 Pro
526,realme 12 Pro
527,Nothing Phone CMF 1 8GB 256GB
528,Oppo F17 Pro
529,Nokia X30 5G
530,Redmi Note 12T Pro
531,OnePlus V Fold
532,OnePlus 11 Pro
533,realme GT 5 Pro 
534,Honor 80 Pro
535,TECNO CAMON 20 Premier
536,Vivo V27 Pro
537,Xiaomi Redmi Note 13 8GB 128GB
538,Xiaomi Redmi Note 13 12GB 256GB
539,Xiaomi Redmi Note 14 Pro 8GB 256GB
540,Vivo S17
541,Samsung Galaxy F34 5G
542,Black Shark 5S Pro
543,Huawei Enjoy 60X
544,Samsung A36 5G 12GB - 256GB
545,OPPO A2 Pro
546,iQOO 11 Pro
547,Nubia Focus
548,Blackview N6000
549,vivo X Fold2
550,iQOO Neo 7 Pro
551,OPPO A1 Pro
552,Nubia Z40S Pro
553,Vivo Nex 3
554,Vivo V29 Pro
555,Vivo Y52
556,HTC U11
557,Sony Xperia 5 IV
558,Samsung Galaxy C55
559,Honor X50i+
560,Doogee V30 Pro
561,Samsung Galaxy A9 Pro 2018
562,Masstel Hapi 30
563,Xiaomi Redmi Note 14 Pro 8GB 128GB
564,Vivo Y52t
565,Huawei Nova 10 SE
566,Vivo X80 Pro Plus
567,Realme V20 5G
568,Huawei Nova Y91
569,vivo Y200i
570,Doogee S100 Pro
571,Masstel Hapi 15
572,Motorola Rizr Rollable
573,Motorola Moto G73
574,Huawei Nova 10z
575,vivo T3x
576,Motorola Edge 40 Pro
577,Xiaomi Redmi Note 14 8GB 128GB
578,OnePlus Nord N20 SE
579,Vivo X70 Pro+
580,Huawei Nova 11 SE
581,Xiaomi Redmi Note 14 Pro Plus 6GB 128GB 
582,Realme GT Neo 5 Pro
583,OPPO F27 Pro
584,realme 13 5G
585,vivo Y38 5G
586,Nokia Hero 5G
587,Vivo Y77
588,Honor 90 512GB
589,OPPO Reno12 F 5G 12GB-256GB
590,Honor X7a
591,iQOO 11
592,Google Pixel 4a
593,HTC A102
594,Huawei Enjoy 60 Pro 
595,Mobell F209 4G
596,Honor X50i
597,Huawei Mate 40E
598,masstel x6
599,Masstel x1
600,Galaxy SmartTag 2
601,Xiaomi Redmi 11 Prime 5G
602,OPPO F23 5G
603,Huawei Pocket S
604,OPPO K10 Pro
605,realme C60s 4GB 64GB
606,Điện thoại Nubia Z70S Ultra 5G
607,Samsung Galaxy Z Flip 5 8GB 512GB 
608,iQOO Neo 7
609,Xiaomii 14 Lite 12GB 512GB
610,TECNO SPARK 30 4G 8GB 128GB
611,Masstel Lux 10
612,Samsung Galaxy A14 4G 6GB 128GB
613,vivo y12
614,Masstel Izi 26 4G
615,Vivo Y27s
616,Mobell M331 4G
617,Vivo iQOO Neo 8 Pro
618,Xiaomi 14 Ultra 12GB 256GB
619,Xiaomi 14 Civi
620,OPPO A56s
621,Xiaomi Black Shark 6 RS
622,Vivo V7
623,Motorola Moto G22
624,Redmi 11A
625,OPPO F21s Pro
626,Blackview A95
627,Realme Narzo N53
628,Vivo S12 Pro
629,Vsmart Lux
630,Xiaomi Redmi Note 13 Pro 5G
631,Honor X40i
632,Masstel X5
633,Vivo iQOO Z7x
634,Realme 10 Pro 
635,Vivo Y77T
636,vivo y100i
637,Vivo X80 Lite 
638,vivo Y200 GT
639,Vivo S16
640,Vivo X Fold Plus
641,Vivo iQOO 9T
642,realme 11X 5G
643,Realme 9i 5G
644,Masstel Tab 10A
645,OPPO Reno10 Z
646,Vivo V26
647,Black Shark 5S
648,Huawei Enjoy 20 Plus
649,Vivo V29 Lite 5G
650,Vivo S17 Pro
651,Vivo S17t
652,HTC U23 Pro
653,Masstel Izi 10 4G
654,Vsmart Bee 5
655,realme 10T
656,Vivo S16e
657,Honor 80 Pro Plus
658,Redmi A2 3GB 32GB
659,vivo Y36t
660,Honor Play 30
661,ZTE V70
662,Motorola Moto G23
663,Vivo Y75s
664,Google Pixel 5a
665,Xiaomi Redmi Note 14 Pro Plus 12GB 512GB
666,Vivo S16 Pro
667,Samsung A06 5G 6GB - 128GB
668,vivo iQOO Pad Air
669,Vivo S15e
670,Nokia C12
671,Realme Narzo N55
672,Honor Play 7T
673,Motorola Moto G13
674,Tecno Pop 5 Pro
675,Masstel Izi 55
676,Infinix Hot 40
677,Samsung Galaxy F13
678,Honor Play 40C
679,Nokia 4.3
680,Oppo F19 Pro Plus
681,Vivo X90S
682,Sharp Rouvo V
683,Oppo F19 Pro
684,vivo iQOO Z6x
685,Huawei Y6S 2019
686,Honor 80
687,vivo y78
688,Vivo iQOO Z6
689,Masstel X9
690,realme GT 5 Pro SE
691,Motorola Moto E13
692,OPPO F23 Pro
693,ZTE Axon 30S
694,Masstel Tab 10
695,Vivo S17e
696,Masstel Izi 55 4g
697,OPPO A1
698,OPPO Reno9 Z
699,Xiaomi Redmi 15C 
700,Realme C50s
701,Tecno Spark 8P
702,masstel fami 60
703,vivo Y78+
704, Xiaomi 14 Lite 8GB 256GB
705,Nokia C1 Plus
706,Vivo iQOO 11s
707,masstel izi 300
708,OPPO K11x 
709,Masstel Izi 11
710,ASUS 8z
711,Xiaomi Redmi A2+
712,Tecno Pop 6 Pro
713,Masstel Tab 8 Pro
714,Nokia 6.3
715,Huawei Nova Y71
716,Vivo Y35 plus
717,Mobell M539 4G
718,Huawei Mate 50E
719,OPPO A57e
720,Vivo Y32t
721,Vivo iQOO Z7
722,Xiaomi Redmi 11 Prime 4G
723,Xiaomi 12 Lite Zoom
724,OPPO Reno9 Lite
725,Masstel Izi 25 4G
726,Vivo Y22T
727,OPPO PHF110
728,Realme V23 5G
729,Realme C55 8GB 128GB
730,Xiaomi Redmi Note 14 Pro 12GB 512GB
731,Honor 70 Lite
732,masstel izi 20 4g
733,Realme X9 Pro
734,Honor Play 7T Pro
735,Nokia C02
736,Masstel Izi 20
737,Vivo Y81
738,Vivo Y100A
739,Vivo Y11 4G 
740,masstel izi 12 4g
741,Redmi A1+
742,Xiaomi Redmi Note 14 Pro Plus 8GB 128GB
743,Redmi Note 11R
744,TCL 50SE
745,Xiaomi Redmi K50S Pro
746,Masstel Izi 50 4G
747,Vivo Y35M Plus
748,Vivo Y78m
749,Vivo Y95
750,Vivo S1
751,Xiaomi POCO C51
752,Oneplus Nord CE2
753,Xiaomi 14 8GB 128GB
754,Samsung Galaxy F04s
755,Samsung Galaxy K748
756,Vivo Y73t
757,Vivo Y85
758,Samsung A26 5G 6GB - 128GB
759,Samsung A06 5G 4GB-64GB
760,OPPO F27 5G
761,Masstel Play 50
762,Samsung W23 Flip
763,Xiaomi Redmi 11 Pro
764,OPPO Reno12 FS 5G 
765,Masstel Hapi 10
766,Xiaomi 14 Pro 8GB 256GB
767,Xiaomi Note 12 Pro Plus
768,Realme 10 8GB 256GB
769,Doogee V30T
770,vivo Y18S 8GB 256GB
771,Google Pixel 9 Pro Fold
772,Xiaomi 14 Pro 12GB 256GB
773, Xiaomi 14 Ultra 8GB 256GB
774,Redmi Note 11 SE
775,Realme 10 Ultra
776,Redmi Note 11 Prime 5G
777,Xiaomi 12i HyperCharge
778,Vivo Y91
779,vivo Y18e
780,Xiaomi POCO M7
781,vivo V30E SE
782,HTC Wildfire E Star
783,Xiaomi Redmi Note 13 Pro Plus 4G
784,Vivo Y1s 
785,Xiaomi 14 Pro 12GB 512GB
786,OPPO Reno14 F
787,Samsung Galaxy M35 5G 8GB 256GB
788,OnePlus Nord CE
789,OnePlus 9
790, Xiaomi 15T Pro 5G 512GB
791,Realme V25
792,Realme V23i
793,Xiaomi 12 Ultra
794,Samsung Galaxy F22
795,OnePlus 10 Pro
796,OnePlus Ace Pro
797,Xiaomi Redmi Note 11SE
798,Xiaomi Redmi 10 Power
799,Huawei Enjoy 20
800,Huawei Nova 8 SE
801,Oppo F17
802,Huawei Nova 7 SE
803,Realme C4
804,Xiaomi Poco C3
805,Samsung Galaxy A3 Core
